case_key,case_id,case_name,guide_id,guide_title,snapshots_count,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,citation_variants_count
apps:16206/19,16206/19,Savinovskikh and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:30141/04,30141/04,Schalk and Kopf v. Austria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:29002/06,29002/06,Schlumpf v. Switzerland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:10934/21,10934/21,Semenya v. Switzerland*,0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
name:sheffield and horsham v the united kingdom::1998,,Sheffield and Horsham v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:32678/18,32678/18,Side by Side International Film Festival and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:33985/96|33986/96,33985/96|33986/96,Smith and Grady v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:70434/12,70434/12,Sousa Goucha v. Portugal,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:25001/07,25001/07,Stasi v. France,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:56070/18,56070/18,Stoyanova-Tsakova v. Bulgaria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:51362/09,51362/09,Taddeucci and McCall v. Italy,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:39375/19,39375/19,Valaitis v. Lithuania,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:71552/17,71552/17,Valdís Fjölnisdóttir and Others v. Iceland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:29381/09|32684/09,29381/09|32684/09,Vallianatos and Others v. Greece [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:35968/97,35968/97,Van Kück v. Germany,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:1813/07,1813/07,Vejdeland and Others v. Sweden,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:31842/20,31842/20,W.W. v. Poland,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:73204/13|74959/13,73204/13|74959/13,Women's Initiatives Supporting Group and Others v. Georgia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:19010/07,19010/07,X and Others v. Austria [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:2145/16,2145/16,X and Y v. Romania,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:x and y v the netherlands::1985,,X and Y v. the Netherlands,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:18367/06,18367/06,X v. France (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:20741/10,20741/10,X v. Poland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:24626/09,24626/09,X v. Turkey,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:x y and z v the united kingdom::1997,,"X, Y and Z v. the United Kingdom",0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:76888/17,76888/17,Y v. France*,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,2
apps:74131/14,74131/14,Y v. Poland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:41701/16,41701/16,Y.T. v. Bulgaria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:14793/08,14793/08,Y.Y. v. Turkey,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:226/18,226/18,Yevstifeyev and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:59963/21,59963/21,Zanola v. Italy (dec.),0a61f8f7ceb0,Rights of LGBTI persons,2,20240613074526,20250612193940,1
apps:12200/08,12200/08,Zhdanov and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:28508/11|33773/18,28508/11|33773/18,Abdalov and Others v. Azerbaijan,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:8513/11|3669/03,8513/11|3669/03,Abil v. Azerbaijan (no. 2),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:P16-2020-002,P16-2020-002,Advisory opinion on the assessment of the proportionality of a general prohibition on standing for election after removal from office in impeachment proceedings,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
name:ahmed and others v the united kingdom::1998,,Ahmed and Others v. the United Kingdom,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:38832/06,38832/06,Alajos Kiss v. Hungary,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:77924/01,77924/01,Albanese v. Italy,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:26081/17,26081/17,Anatoliy Marinov v. Bulgaria,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
